Name,Height,Weight,Reach,W,L,D,SLpM,Str. Acc.,SApM,Str. Def,TD Avg.,TD Acc.,TD Def.,Sub. Avg.,edad,ufc_bouts,racha,St_Open Stance,St_Orthodox,St_Sideways,St_Southpaw,St_Switch
Denis Kang,180.0,185.0,196.0,35.0,15.0,2.0,2.27,35,1.65,67,2.51,65,38,1.2,46.0,3,-1,False,True,False,False,False
Pedro Rizzo,185.0,241.0,185.0,19.0,11.0,0.0,1.93,34,3.02,50,0.26,28,78,0.0,49.0,14,2,False,True,False,False,False
Lyman Good,183.0,170.0,188.0,21.0,5.0,0.0,5.34,48,4.01,63,0.27,100,75,0.0,38.0,6,-1,False,True,False,False,False
James McSweeney,193.0,230.0,196.0,15.0,14.0,0.0,3.94,55,4.33,42,0.52,33,100,1.1,43.0,3,-2,False,False,False,False,True
Christian Aguilera,175.0,170.0,183.0,14.0,7.0,0.0,2.54,37,4.04,48,0.0,0,60,0.0,32.0,3,-2,False,False,False,False,True
Charles Johnson,175.0,125.0,178.0,13.0,4.0,0.0,4.23,52,3.75,54,0.23,14,54,0.2,32.0,5,-2,False,False,False,False,True
Gustavo Lopez,165.0,135.0,170.0,12.0,5.0,1.0,2.48,40,3.87,57,1.74,41,31,0.7,34.0,3,-1,False,True,False,False,False
Jay Cucciniello,170.0,155.0,170.0,8.0,0.0,0.0,0.93,21,4.73,36,0.0,0,71,0.0,37.0,1,-1,False,True,False,False,False
Myles Jury,178.0,145.0,185.0,17.0,3.0,0.0,2.94,42,2.16,66,2.16,55,50,0.3,35.0,12,-2,False,True,False,False,False
Jutaro Nakao,175.0,170.0,175.0,25.0,18.0,4.0,0.53,38,1.06,44,0.38,50,56,0.0,53.0,2,-1,False,False,False,True,False
Matt Frevola,175.0,155.0,180.0,10.0,3.0,1.0,3.72,41,3.56,59,2.26,36,42,0.9,33.0,8,3,False,True,False,False,False
Anderson Dos Santos,165.0,135.0,178.0,21.0,8.0,0.0,2.7,25,5.37,49,0.98,14,66,0.7,38.0,4,-1,False,True,False,False,False
Geza Kalman,185.0,200.0,185.0,3.0,9.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,2,1,False,True,False,False,False
Johnny Case,178.0,155.0,183.0,22.0,5.0,0.0,3.95,38,2.66,61,1.7,45,72,0.2,34.0,6,-2,False,True,False,False,False
Renee Forte,170.0,155.0,180.0,8.0,3.0,0.0,2.08,32,2.12,63,2.32,58,66,0.0,36.0,4,-2,False,True,False,False,False
Song Kenan,183.0,170.0,180.0,19.0,6.0,0.0,4.25,47,5.45,51,0.51,66,50,0.0,33.0,7,-2,False,True,False,False,False
Jesse Butler,178.0,155.0,185.0,12.0,4.0,0.0,2.61,14,7.83,40,0.0,0,0,0.0,31.0,1,-1,False,True,False,False,False
Phil Harris,163.0,125.0,165.0,22.0,11.0,0.0,2.34,26,3.16,68,1.76,21,60,0.0,40.0,4,-2,False,True,False,False,False
Maiquel Falcao,180.0,185.0,180.0,36.0,10.0,0.0,1.67,55,0.53,86,1.0,100,71,3.0,42.0,1,1,False,True,False,False,False
Waldo Cortes-Acosta,193.0,260.0,198.0,9.0,0.0,0.0,7.09,51,4.03,53,0.0,0,60,0.0,32.0,3,-1,False,True,False,False,False
Chan-Mi Jeon,165.0,115.0,165.0,5.0,1.0,0.0,6.23,31,7.77,55,0.0,0,0,0.0,26.0,2,-2,False,True,False,False,False
Ramazan Emeev,178.0,170.0,193.0,20.0,5.0,0.0,2.53,45,2.14,65,2.37,29,66,0.7,36.0,8,-2,False,False,False,True,False
Frankie Perez,180.0,155.0,185.0,10.0,3.0,0.0,1.64,41,2.17,54,1.75,41,50,0.3,34.0,4,-2,False,True,False,False,False
Chris Daukaus,190.0,205.0,193.0,12.0,5.0,0.0,6.41,50,4.48,57,0.0,0,100,0.0,34.0,7,-3,False,True,False,False,False
Raphael Pessoa,190.0,262.0,198.0,10.0,1.0,0.0,2.16,26,3.43,42,0.0,0,100,0.0,34.0,3,-1,False,True,False,False,False
Arjan Bhullar,185.0,245.0,190.0,8.0,1.0,0.0,2.33,56,3.25,59,1.73,75,100,0.0,37.0,4,2,False,True,False,False,False
Vanessa Demopoulos,157.0,115.0,150.0,9.0,4.0,0.0,3.71,42,5.61,43,0.58,13,50,0.8,35.0,5,-1,False,True,False,False,False
Elias Silverio,180.0,155.0,185.0,13.0,2.0,0.0,3.67,49,2.97,51,1.62,38,85,0.2,37.0,5,-2,False,True,False,False,False
Paul Jones,175.0,199.0,175.0,11.0,0.0,1.0,0.0,0,0.0,0,0.0,0,0,0.0,60.0,2,-1,False,True,False,False,False
Josh Parisian,193.0,265.0,201.0,15.0,5.0,0.0,4.45,49,4.5,41,1.05,33,48,0.2,34.0,5,-1,False,True,False,False,False
Armen Petrosyan,190.0,185.0,180.0,7.0,2.0,0.0,5.99,51,2.75,58,0.0,0,25,0.0,33.0,3,1,False,True,False,False,False
Hugo Duarte,183.0,240.0,183.0,6.0,2.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,55.0,1,-1,False,True,False,False,False
Javid Basharat,175.0,135.0,175.0,13.0,0.0,0.0,5.64,60,2.3,66,2.03,57,85,0.2,28.0,3,3,False,True,False,False,False
Brian Ebersole,183.0,170.0,185.0,51.0,17.0,1.0,2.32,49,2.14,56,1.7,23,61,0.1,43.0,8,-1,False,False,False,True,False
Bruno Korea,168.0,135.0,165.0,7.0,2.0,0.0,2.12,34,3.96,42,0.0,0,25,0.0,32.0,1,-1,False,True,False,False,False
Antonio Mendes,190.0,205.0,196.0,18.0,12.0,0.0,1.34,47,6.85,22,2.51,50,100,0.0,42.0,2,-2,False,False,False,True,False
Sultan Aliev,180.0,170.0,188.0,14.0,3.0,0.0,1.41,45,2.2,56,1.76,38,100,0.0,39.0,4,1,False,True,False,False,False
Frank Lester,180.0,170.0,180.0,11.0,5.0,0.0,2.18,36,3.82,53,0.0,0,0,0.0,39.0,1,-1,False,True,False,False,False
Daniel Roberts,178.0,170.0,188.0,15.0,6.0,0.0,0.73,20,2.27,46,2.46,44,40,2.5,43.0,7,-3,False,False,False,True,False
Ian Garry,190.0,170.0,188.0,11.0,0.0,0.0,6.85,55,4.09,53,0.29,50,63,0.0,26.0,5,5,False,True,False,False,False
Rosi Sexton,160.0,135.0,160.0,13.0,4.0,0.0,3.31,39,7.42,41,0.75,10,80,0.0,46.0,2,-2,False,True,False,False,False
Carlos Barreto,193.0,230.0,193.0,14.0,8.0,0.0,0.0,0,0.0,0,0.0,0,0,0.0,37.0,1,-1,False,True,False,False,False
Chris Wade,178.0,155.0,178.0,11.0,3.0,0.0,1.7,53,1.75,51,2.6,51,55,1.1,36.0,7,1,False,True,False,False,False
Donald Cerrone,185.0,155.0,185.0,36.0,16.0,0.0,4.41,46,4.48,53,1.16,33,73,1.2,40.0,37,-6,False,True,False,False,False
Azunna Anyanwu,185.0,251.0,185.0,14.0,4.0,0.0,2.47,42,2.47,69,0.65,100,0,0.0,42.0,1,-1,False,True,False,False,False
